symbol,price,trend,signal,risk,score,rating,entry_ready,entry_type,entry_price,stop_loss,take_profit,option_strategy,option_reason,option_confidence,option_contract,option_type,option_strike,option_expiration,option_dte,option_entry,option_stop_loss,option_take_profit,option_bid,option_ask,option_last_price,option_volume,option_open_interest,option_contract_score,contracts,risk_amount,potential_profit,risk_reward,trade_allowed,account_size,risk_percent,max_risk_allowed,risk_per_share,risk_per_contract,cost_per_contract,option_price_used,trade_plan,ai_analysis,score_reasons
NVDA,215.3300018310547,UP,HOLD,MEDIUM,100,EXCELENTE,True,PULLBACK CALL,,5.25,11.25,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,NVDA260717C00230000,CALL,230.0,2026-07-17,54.0,7.5,5.25,11.25,7.45,7.55,7.52,6184.0,37094.0,100.0,1,225.0,375.0,1.67,True,10000,0.02,200.0,,225.0,750.0,7.5,"Estrategia: WATCHLIST CALL | Contratos: 1 | Entrada opcion: $7.5 | Costo por contrato: $750.0 | Stop loss: $5.25 | Take profit: $11.25 | Riesgo por contrato: $225.0 | Riesgo total: $225.0 | Ganancia potencial: $375.0 | Advertencia: riesgo ligeramente superior al limite. Permitido con tolerancia. Riesgo contrato $225.0, limite normal $200.0.","Evaluacion tecnica automatica: NVDA tiene score 100, rating EXCELENTE, tendencia UP, riesgo MEDIUM, entrada PULLBACK CALL.","Tendencia alcista, RSI optimo, Volumen accion superior al promedio, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion fuerte, Contrato con score excelente, Tamano de posicion calculado"
NFLX,88.5999984741211,DOWN,HOLD,MEDIUM,100,EXCELENTE,True,PULLBACK PUT,,1.18,2.52,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,NFLX260717P00080000,PUT,80.0,2026-07-17,54.0,1.68,1.18,2.52,1.66,1.7,1.68,885.0,27017.0,100.0,4,200.0,336.0,1.68,True,10000,0.02,200.0,,50.0,168.0,1.68,Estrategia: WATCHLIST PUT | Contratos: 4 | Entrada opcion: $1.68 | Costo por contrato: $168.0 | Stop loss: $1.18 | Take profit: $2.52 | Riesgo por contrato: $50.0 | Riesgo total: $200.0 | Ganancia potencial: $336.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, MACD alcista, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion fuerte, Contrato con score excelente, Premium dentro del rango ideal, Tamano de posicion calculado"
IWM,285.1199951171875,UP,HOLD,MEDIUM,100,EXCELENTE,True,PULLBACK CALL,,2.89,6.2,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,IWM260717C00300000,CALL,300.0,2026-07-17,54.0,4.13,2.89,6.2,4.06,4.2,4.08,1793.0,24726.0,100.0,1,124.0,207.0,1.67,True,10000,0.02,200.0,,124.0,413.0,4.13,Estrategia: WATCHLIST CALL | Contratos: 1 | Entrada opcion: $4.13 | Costo por contrato: $413.0 | Stop loss: $2.89 | Take profit: $6.2 | Riesgo por contrato: $124.0 | Riesgo total: $124.0 | Ganancia potencial: $207.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI optimo, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion fuerte, Contrato con score excelente, Premium dentro del rango ideal, Tamano de posicion calculado"
UBER,71.81999969482422,DOWN,SELL,MEDIUM,98,EXCELENTE,True,PULLBACK PUT,,1.36,2.91,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,UBER260717P00067500,PUT,67.5,2026-07-17,54.0,1.94,1.36,2.91,1.89,2.0,1.95,1084.0,9789.0,100.0,3,174.0,291.0,1.67,True,10000,0.02,200.0,,58.0,194.0,1.94,Estrategia: WATCHLIST PUT | Contratos: 3 | Entrada opcion: $1.94 | Costo por contrato: $194.0 | Stop loss: $1.36 | Take profit: $2.91 | Riesgo por contrato: $58.0 | Riesgo total: $174.0 | Ganancia potencial: $291.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, Volumen accion superior al promedio, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion fuerte, Contrato con score excelente, Premium dentro del rango ideal, Tamano de posicion calculado"
GOOGL,382.9700012207031,UP,HOLD,MEDIUM,93,EXCELENTE,True,PULLBACK CALL,,4.42,9.48,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,GOOGL260717C00420000,CALL,420.0,2026-07-17,54.0,6.32,4.42,9.48,6.15,6.5,6.45,837.0,3115.0,100.0,1,190.0,316.0,1.66,True,10000,0.02,200.0,,190.0,632.0,6.32,Estrategia: WATCHLIST CALL | Contratos: 1 | Entrada opcion: $6.32 | Costo por contrato: $632.0 | Stop loss: $4.42 | Take profit: $9.48 | Riesgo por contrato: $190.0 | Riesgo total: $190.0 | Ganancia potencial: $316.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion fuerte, Contrato con score excelente, Tamano de posicion calculado"
PLTR,136.8800048828125,DOWN,HOLD,MEDIUM,91,EXCELENTE,True,PULLBACK PUT,,4.26,9.12,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,PLTR260717P00130000,PUT,130.0,2026-07-17,54.0,6.08,4.26,9.12,5.95,6.2,6.11,397.0,12351.0,100.0,1,182.0,304.0,1.67,True,10000,0.02,200.0,,182.0,608.0,6.08,Estrategia: WATCHLIST PUT | Contratos: 1 | Entrada opcion: $6.08 | Costo por contrato: $608.0 | Stop loss: $4.26 | Take profit: $9.12 | Riesgo por contrato: $182.0 | Riesgo total: $182.0 | Ganancia potencial: $304.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, MACD alcista, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion aceptable, Contrato con score excelente, Tamano de posicion calculado"
META,610.260009765625,DOWN,HOLD,MEDIUM,84,FUERTE,True,PULLBACK PUT,,2.72,5.82,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,META260626P00550000,PUT,550.0,2026-06-26,33.0,3.88,2.72,5.82,3.65,4.1,3.9,249.0,1817.0,100.0,1,116.0,194.0,1.67,True,10000,0.02,200.0,,116.0,388.0,3.88,Estrategia: WATCHLIST PUT | Contratos: 1 | Entrada opcion: $3.88 | Costo por contrato: $388.0 | Stop loss: $2.72 | Take profit: $5.82 | Riesgo por contrato: $116.0 | Riesgo total: $116.0 | Ganancia potencial: $194.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Open Interest fuerte, Volumen de opcion aceptable, Contrato con score excelente, Premium dentro del rango ideal, Tamano de posicion calculado"
MSFT,418.57000732421875,UP,HOLD,MEDIUM,70,INTERESANTE,True,PULLBACK CALL,,8.79,18.84,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,MSFT260717C00450000,CALL,450.0,2026-07-17,54.0,7.9,5.53,11.85,7.8,8.0,7.9,3877.0,23659.0,100.0,0,0.0,0.0,0.0,False,10000,0.02,200.0,,237.0,790.0,7.9,Trade bloqueado: riesgo por contrato $237.0 mayor al limite con tolerancia $230.0.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI optimo, Entrada confirmada, Trade no permitido por gestion de riesgo, Open Interest fuerte, Volumen de opcion fuerte, Contrato con score excelente"
COIN,184.99000549316406,DOWN,HOLD,MEDIUM,57,OBSERVAR,True,PULLBACK PUT,,5.25,11.25,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,COIN260626P00170000,PUT,170.0,2026-06-26,33.0,7.5,5.25,11.25,6.8,8.2,6.75,49.0,285.0,70.0,1,225.0,375.0,1.67,True,10000,0.02,200.0,,225.0,750.0,7.5,"Estrategia: WATCHLIST PUT | Contratos: 1 | Entrada opcion: $7.5 | Costo por contrato: $750.0 | Stop loss: $5.25 | Take profit: $11.25 | Riesgo por contrato: $225.0 | Riesgo total: $225.0 | Ganancia potencial: $375.0 | Advertencia: riesgo ligeramente superior al limite. Permitido con tolerancia. Riesgo contrato $225.0, limite normal $200.0.",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, Entrada confirmada, Trade permitido por gestion de riesgo, Risk Reward saludable, Contrato con score aceptable, Tamano de posicion calculado"
TSLA,426.010009765625,UP,HOLD,MEDIUM,40,OBSERVAR,True,PULLBACK CALL,,8.95,19.17,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,383.0,1278.0,12.78,Trade bloqueado: riesgo por contrato $383.0 mayor al limite con tolerancia $230.0.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI optimo, Entrada confirmada, Trade no permitido por gestion de riesgo"
SMH,576.3200073242188,UP,HOLD,MEDIUM,33,DESCARTAR,True,PULLBACK CALL,,12.1,25.93,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,519.0,1729.0,17.29,Trade bloqueado: riesgo por contrato $519.0 mayor al limite con tolerancia $230.0.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI aceptable, Entrada confirmada, Trade no permitido por gestion de riesgo"
AVGO,414.1400146484375,UP,HOLD,MEDIUM,25,DESCARTAR,True,PULLBACK CALL,,8.69,18.63,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,373.0,1242.0,12.42,Trade bloqueado: riesgo por contrato $373.0 mayor al limite con tolerancia $230.0.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Entrada confirmada, Trade no permitido por gestion de riesgo"
SNOW,172.1999969482422,UP,HOLD,MEDIUM,22,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, MACD alcista, Trade no permitido por gestion de riesgo"
CRM,180.07000732421875,DOWN,HOLD,MEDIUM,12,DESCARTAR,False,NONE,,3.78,8.1,WATCHLIST PUT,Tendencia bajista y RSI permite PUT.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, MACD alcista, Trade no permitido por gestion de riesgo"
AMZN,266.32000732421875,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,5.59,11.98,WATCHLIST CALL,Tendencia alcista y RSI saludable.,65,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
AMD,467.510009765625,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
QQQ,717.5399780273438,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
SPY,745.6400146484375,UP,HOLD,MEDIUM,10,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, Trade no permitido por gestion de riesgo"
AAPL,308.82000732421875,UP,HOLD,MEDIUM,2,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI sobrecomprado, MACD alcista, Trade no permitido por gestion de riesgo"
SHOP,103.0,DOWN,HOLD,MEDIUM,0,DESCARTAR,False,NONE,,0.0,0.0,NO TRADE,No hay condición clara para operar opciones.,0,,,,,,,,,,,,,,,0,0.0,0.0,0.0,False,10000,0.02,200.0,,,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia bajista, Trade no permitido por gestion de riesgo"
